K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
S(425) : 92.77642878497548, 0.8328330045219601 -> 97.88215415543601, 0.3303199359242971*10.160383260695703
S(426) : 97.88215415543601, 0.3303199359242971 -> 99.91614328458218, 0.12868593635804032*10.08753054307093
S(427) : 99.91614328458218, 0.12868593635804032 -> 100.62089919751502, 0.05908228561245989*10.125272243390118
S(428) : 100.62089919751502, 0.05908228561245989 -> 100.96671368219492, 0.024997378264140273*10.14567770849326
S(429) : 100.96671368219492, 0.024997378264140273 -> 101.11685685975286, 0.010089357207251334*10.071301682831402
S(430) : 101.11685685975286, 0.010089357207251334 -> 101.16996952788577, 0.004788519579097487*10.019674598373603
B(431) : 101.16996952788577, 0.004788519579097487 -> 48.16796244101462, 5.318906210052637*9.973811303028961
B(432) : 48.16796244101462, 5.318906210052637 -> 20.824516560656686, 8.062834089115436*9.965074552067751
B(433) : 20.824516560656686, 8.062834089115436 -> 8.480113320121061, 9.30508842758372*9.937098111290508
B(434) : 8.480113320121061, 9.30508842758372 -> 3.2202016447320485, 9.834356866312467*9.938079225020148
B(435) : 3.2202016447320485, 9.834356866312467 -> 1.2259290359979351, 10.030522906968038*10.166247950304834
S(436) : 1.2259290359979351, 10.030522906968038 -> 63.05157555762283, 3.963697611377648*10.19077417089334
S(437) : 63.05157555762283, 3.963697611377648 -> 88.67856213221151, 1.4708123263803947*10.280050481591624
S(438) : 88.67856213221151, 1.4708123263803947 -> 99.49155516888634, 0.41678702039360793*10.258760368710133
S(439) : 99.49155516888634, 0.41678702039360793 -> 102.43619782863396, 0.12682241556050905*10.15517966905836
S(440) : 102.43619782863396, 0.12682241556050905 -> 103.20679113673535, 0.05149450551963501*10.229851162514057
S(441) : 103.20679113673535, 0.05149450551963501 -> 103.55643608919966, 0.017131412411324008*10.175013971014064
S(442) : 103.55643608919966, 0.017131412411324008 -> 103.66341101955175, 0.00662219001981945*10.179148025124846
S(443) : 103.66341101955175, 0.00662219001981945 -> 103.704849169756, 0.0025329312579928905*10.13341356411035
S(444) : 103.704849169756, 0.0025329312579928905 -> 103.7193938479115, 0.0010826199104494684*10.02865914283618
B(445) : 103.7193938479115, 0.0010826199104494684 -> 48.714801696618636, 5.469899940300499*10.057858752423972
B(446) : 48.714801696618636, 5.469899940300499 -> 24.277628302554625, 7.88710195097055*10.109694302004156
K(448) : 103.98013001565457, 0.0 -> 103.98013001565457, 0.0*10.189627711423736
K(449) : 103.98013001565457, 0.0 -> 103.98013001565457, 0.0*10.057451868405426
B(450) : 103.98013001565457, 0.0 -> 51.77823288879176, 5.17944371856434*10.07866866855971
B(451) : 51.77823288879176, 5.17944371856434 -> 24.921289064727137, 7.860278553646271*10.018126992610426
B(452) : 24.921289064727137, 7.860278553646271 -> 10.397213369347027, 9.312665886000007*10.000139337378021
B(453) : 10.397213369347027, 9.312665886000007 -> 4.139706298327716, 9.939874882296944*9.97674954913566
B(454) : 4.139706298327716, 9.939874882296944 -> 1.3692482347444437, 10.21378871017808*10.11434174394985
B(455) : 1.3692482347444437, 10.21378871017808 -> 0.6608506648637146, 10.284405718879533*10.03154314954934
B(456) : 0.6608506648637146, 10.284405718879533 -> 0.2566216721904711, 10.324912062313807*9.979399728567214
B(457) : 0.2566216721904711, 10.324912062313807 -> 0.08440869413813903, 10.34231297689134*9.896777395521237
B(458) : 0.08440869413813903, 10.34231297689134 -> 0.019819677378049322, 10.348876491522374*9.840614425495229
B(459) : 0.019819677378049322, 10.348876491522374 -> 0.003385792723735969, 10.350528357325995*9.94868022467988
B(460) : 0.003385792723735969, 10.350528357325995 -> 0.0009327295501042124, 10.350774641903374*9.960279282346026
B(461) : 0.0009327295501042124, 10.350774641903374 -> 0.00026959730386345426, 10.350840794145277*10.024335187603567
B(462) : 0.00026959730386345426, 10.350840794145277 -> 9.811043710001546e-05, 10.350857788032357*10.091091340785889
B(463) : 9.811043710001546e-05, 10.350857788032357 -> 4.335937139522142e-05, 10.350863174536862*10.164488983812442
K(465) : 105.12823612428167, 0.0 -> 105.12823612428167, 0.0*10.17178771537963
K(466) : 105.12823612428167, 0.0 -> 105.12823612428167, 0.0*10.145944789096827
K(467) : 105.12823612428167, 0.0 -> 105.12823612428167, 0.0*10.127425184436566
B(468) : 105.12823612428167, 0.0 -> 50.925626476236154, 5.3928694332280465*10.050792128227197
B(469) : 50.925626476236154, 5.3928694332280465 -> 20.107458247881546, 8.448308035454536*10.086332026406126
B(470) : 20.107458247881546, 8.448308035454536 -> 8.774522339647786, 9.576877967731676*10.041855257801398
B(471) : 8.774522339647786, 9.576877967731676 -> 3.3728700132476277, 10.118725117606687*9.968959562943471
B(472) : 3.3728700132476277, 10.118725117606687 -> 1.00912029163749, 10.351417602415937*10.158255534328175
K(474) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.163104363259356
K(475) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.286816578351694
K(476) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.23014356541143
K(477) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.26564300770482
K(478) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.220983370496583
K(479) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.220944590129585
K(480) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.28012920132631
K(481) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.344081956848013
K(482) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.373137109932296
K(483) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.251559536562707
K(484) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.395483724574511
K(485) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.488598919737997
K(486) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.360636053260567
K(487) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.224915106297596
K(488) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.322720165796245
K(489) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.344424232149239
K(490) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.323532220213623
K(491) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.446653104069993
K(492) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.529062145980815
K(493) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.445676820191046
K(494) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.456936311532667
K(495) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.400727610364967
K(496) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.261777849946785
K(497) : 106.43148096164022, 0.0 -> 106.43148096164022, 0.0*10.171399904501724
B(498) : 106.43148096164022, 0.0 -> 48.366161148964004, 5.706219410316327*10.175795152163163
B(499) : 48.366161148964004, 5.706219410316327 -> 22.271308490437626, 8.271423461496349*10.172622582021283
B(500) : 22.271308490437626, 8.271423461496349 -> 10.158265597844226, 9.448097430054501*10.294306848171567
K(502) : 106.72261117367606, 0.0 -> 106.72261117367606, 0.0*10.289384752697055
K(503) : 106.72261117367606, 0.0 -> 106.72261117367606, 0.0*10.180663755511267
B(504) : 106.72261117367606, 0.0 -> 49.856690084582176, 5.569805219567055*10.209678587919115
S(505) : 49.856690084582176, 5.569805219567055 -> 79.06387616637221, 2.7457904728151155*10.342433981756958
S(506) : 79.06387616637221, 2.7457904728151155 -> 98.53883082330759, 0.8528365064822252*10.288129031823782
S(507) : 98.53883082330759, 0.8528365064822252 -> 103.89391664725342, 0.32851451442519464*10.213353445154288
S(508) : 103.89391664725342, 0.32851451442519464 -> 105.60265351731375, 0.1602918536911409*10.157590318712833
B(509) : 105.60265351731375, 0.1602918536911409 -> 45.98605370831891, 6.0087792275320755*10.193507482917287
S(510) : 45.98605370831891, 6.0087792275320755 -> 77.62403544076423, 2.9287247660512303*10.271890360417276
S(511) : 77.62403544076423, 2.9287247660512303 -> 96.37907848902613, 1.0940342383272121*10.222455920960154
S(512) : 96.37907848902613, 1.0940342383272121 -> 102.60844427733964, 0.4872377347988952*10.265988271342788
S(513) : 102.60844427733964, 0.4872377347988952 -> 105.75499538342439, 0.18618627812870242*10.45187138732849
S(514) : 105.75499538342439, 0.18618627812870242 -> 107.4919529276099, 0.02087574645358739*10.507240685663977
S(515) : 107.4919529276099, 0.02087574645358739 -> 107.70412815744245, 0.0006616904367117704*10.49642039457193
S(516) : 107.70412815744245, 0.0006616904367117704 -> 107.71075261252425, 3.137309355828505e-05*10.509714120583217
S(517) : 107.71075261252425, 3.137309355828505e-05 -> 107.71107475766114, 8.817044387027203e-07*10.565118421908936
S(518) : 107.71107475766114, 8.817044387027203e-07 -> 107.71108400745547, 0.0*10.490810675740958
K(519) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.511737210574475
K(520) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.457250467091727
K(521) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.460537475374778
K(522) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.451893730949443
K(523) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.415825697725628
K(524) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.371356296625265
K(525) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.387040258171552
K(526) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.398122038225015
K(527) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.421226338143061
K(528) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.482536232727142
K(529) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.581862668846655
K(530) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.505971223648968
K(531) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.587570193359781
K(532) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.569507242472135
K(533) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.388773562002617
K(534) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.25198541810658
K(535) : 107.71108400745547, 0.0 -> 107.71108400745547, 0.0*10.165228695826803
B(536) : 107.71108400745547, 0.0 -> 46.809404848244384, 6.004688024754469*10.142355257782329
B(537) : 46.809404848244384, 6.004688024754469 -> 18.909163548134337, 8.756964880046759*10.137149264784656
B(538) : 18.909163548134337, 8.756964880046759 -> 7.506770835807076, 9.873508957616618*10.212219061825472
B(540) : 107.34013691424542, 0.0 -> 38.88906847718131, 6.757782799887997*10.129219962233561
B(541) : 38.88906847718131, 6.757782799887997 -> 15.025789965043668, 9.11811046692593*10.110154977797889
B(542) : 15.025789965043668, 9.11811046692593 -> 5.422087759681164, 10.06177030865491*10.177080533348262
B(543) : 5.422087759681164, 10.06177030865491 -> 2.442378576382192, 10.35345496707396*10.215515616930977
S(544) : 2.442378576382192, 10.35345496707396 -> 55.32608163049937, 5.156999206742721*10.176879298736914
B(545) : 55.32608163049937, 5.156999206742721 -> 24.906719549975488, 8.118034999551309*10.27321660697341
S(546) : 24.906719549975488, 8.118034999551309 -> 73.69205294946613, 3.4164451582115456*10.376348223857145
K(548) : 108.66251020720836, 0.0 -> 108.66251020720836, 0.0*10.25850277689815
K(549) : 108.66251020720836, 0.0 -> 108.66251020720836, 0.0*10.29693166810766
K(550) : 108.66251020720836, 0.0 -> 108.66251020720836, 0.0*10.17819117212873
B(551) : 108.66251020720836, 0.0 -> 49.10857945664963, 5.86715860880856*10.15038704785455
B(552) : 49.10857945664963, 5.86715860880856 -> 20.36598965172729, 8.715227269282096*10.091958176367646
B(553) : 20.36598965172729, 8.715227269282096 -> 6.8529683409877435, 10.060571728686426*10.044283615456095
B(554) : 6.8529683409877435, 10.060571728686426 -> 1.868569158822707, 10.557684809481122*10.026690857132264
B(555) : 1.868569158822707, 10.557684809481122 -> 0.46548496751657065, 10.698322742565326*9.976570051453166
B(556) : 0.46548496751657065, 10.698322742565326 -> 0.08472429406850918, 10.736534086064127*9.964597906901627
B(557) : 0.08472429406850918, 10.736534086064127 -> 0.014062965158357296, 10.743619711034038*9.97249067093054
B(558) : 0.014062965158357296, 10.743619711034038 -> 0.002482839178113226, 10.744783634260106*9.949218059130331
B(559) : 0.002482839178113226, 10.744783634260106 -> 0.0003609924015254176, 10.744994265023717*10.073774315840545
B(560) : 0.0003609924015254176, 10.744994265023717 -> 0.00011268264116332704, 10.745018917948096*10.072223341489265
B(561) : 0.00011268264116332704, 10.745018917948096 -> 3.4939557995240724e-05, 10.745026598544905*10.122010710195434
B(562) : 3.4939557995240724e-05, 10.745026598544905 -> 1.3162575659648626e-05, 10.745028731706924*10.208780276957274
B(563) : 1.3162575659648626e-05, 10.745028731706924 -> 6.487681176921938e-06, 10.745029385510174*10.209332062488961
B(564) : 6.487681176921938e-06, 10.745029385510174 -> 3.202495483718048e-06, 10.74502970782153*10.192584345475991
B(565) : 3.202495483718048e-06, 10.74502970782153 -> 1.509034574249903e-06, 10.745029872532069*10.281436300474043
K(567) : 110.16020601091412, 0.0 -> 110.16020601091412, 0.0*10.246822306486516
K(568) : 110.16020601091412, 0.0 -> 110.16020601091412, 0.0*10.185852450655563
B(569) : 110.16020601091412, 0.0 -> 50.91532003720997, 5.8218131046154955*10.176363429931337
B(570) : 50.91532003720997, 5.8218131046154955 -> 22.885917411027915, 8.549031717115417*10.277651559619102
S(571) : 22.885917411027915, 8.549031717115417 -> 74.47530811326348, 3.5470697778380167*10.313831118372791
K(573) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.279084901792457
K(574) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.274524910179855
K(575) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.350552627615835
K(576) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.265309342758192
K(577) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.312711815123919
K(578) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.294880725559626
K(579) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.371334727864589
K(580) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.33511848593031
K(581) : 110.89542091662366, 0.0 -> 110.89542091662366, 0.0*10.257796527977657
B(582) : 110.89542091662366, 0.0 -> 53.60668094254606, 5.61904436118061*10.195459635424687
B(583) : 53.60668094254606, 5.61904436118061 -> 20.67854544127904, 8.839892331514989*10.223436748505865
B(584) : 20.67854544127904, 8.839892331514989 -> 8.882939877603304, 9.998464132048635*10.181160596384792
B(585) : 8.882939877603304, 9.998464132048635 -> 3.227578483742607, 10.551600324861193*10.224175288737861
B(586) : 3.227578483742607, 10.551600324861193 -> 1.3902139440670451, 10.732307208875444*10.167651053795339
B(587) : 1.3902139440670451, 10.732307208875444 -> 0.4757070255497349, 10.821802370225429*10.218506841291426
B(588) : 0.4757070255497349, 10.821802370225429 -> 0.20067695979492012, 10.848479480940844*10.309589696154816
K(590) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.321043312236904
K(591) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.475660315086497
K(592) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.458620603145894
K(593) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.453895660912462
K(594) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.440402844227403
K(595) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.50111310564837
K(596) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.471986417415566
K(597) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.456418281500607
K(598) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.531855341997133
K(599) : 112.64604179878343, 0.0 -> 112.64604179878343, 0.0*10.51460367928765
B(120) : 100.0, 0.0 -> 93.68900948872361, 0.4178779006374817*15.102474913482695
S(121) : 93.68900948872361, 0.4178779006374817 -> 97.52811781039273, 0.16493119292741276*15.17753821120914
S(122) : 97.52811781039273, 0.16493119292741276 -> 99.31489646159739, 0.047872683483451195*15.263979181795651
S(123) : 99.31489646159739, 0.047872683483451195 -> 99.92003555745778, 0.008138392142323411*15.229643600917255
S(124) : 99.92003555745778, 0.008138392142323411 -> 100.01697157643754, 0.0017722882422540201*15.226898665398894
S(125) : 100.01697157643754, 0.0017722882422540201 -> 100.03803400361444, 0.00039271715487172645*15.267373584112313
S(126) : 100.03803400361444, 0.00039271715487172645 -> 100.04302922833399, 6.4907669187606e-05*15.238194554141149
S(127) : 100.04302922833399, 6.4907669187606e-05 -> 100.04381535050109, 1.336271382522324e-05*15.25119503115855
S(128) : 100.04381535050109, 1.336271382522324e-05 -> 100.04398106761906, 2.5093335477082395e-06*15.268710182670244
S(129) : 100.04398106761906, 2.5093335477082395e-06 -> 100.04401304836576, 4.100725858041579e-07*15.234288297010796
S(130) : 100.04401304836576, 4.100725858041579e-07 -> 100.0440180023147, 8.665124214177029e-08*15.317322274188761
S(131) : 100.0440180023147, 8.665124214177029e-08 -> 100.04401920047097, 8.300250519632765e-09*15.292164702790181
S(132) : 100.04401920047097, 8.300250519632765e-09 -> 100.04401931055028, 1.0855789703781556e-09*15.257702130762599
S(133) : 100.04401931055028, 1.0855789703781556e-09 -> 100.0440193241896, 1.9402928911321766e-10*15.298451198391405
S(134) : 100.0440193241896, 1.9402928911321766e-10 -> 100.0440193267931, 2.367988696696058e-11*15.283292727511705
S(135) : 100.0440193267931, 2.367988696696058e-11 -> 100.04401932710405, 3.3893378145619296e-12*15.324575009702189
S(136) : 100.04401932710405, 3.3893378145619296e-12 -> 100.04401932715162, 2.904631073084474e-13*15.349224168715466
S(137) : 100.04401932715162, 2.904631073084474e-13 -> 100.04401932715584, 1.4931794064690568e-14*15.320527756900223
S(138) : 100.04401932715584, 1.4931794064690568e-14 -> 100.04401932715605, 1.3637156989447723e-15*15.365500734960083
S(139) : 100.04401932715605, 1.3637156989447723e-15 -> 100.04401932715606, 3.9224129888801496e-17*15.309680175985047
S(140) : 100.04401932715606, 3.9224129888801496e-17 -> 100.04401932715606, 4.174269270937152e-18*15.346716367725453
S(141) : 100.04401932715606, 4.174269270937152e-18 -> 100.04401932715606, 2.2914958651273488e-19*15.362371763817922
S(142) : 100.04401932715606, 2.2914958651273488e-19 -> 100.04401932715606, 7.58846100595612e-21*15.403835766295455
S(143) : 100.04401932715606, 7.58846100595612e-21 -> 100.04401932715606, 0.0*15.420362315649571
K(144) : 100.04401932715606, 0.0 -> 100.04401932715606, 0.0*15.439562202520221
K(145) : 100.04401932715606, 0.0 -> 100.04401932715606, 0.0*15.465805814424293
